league,season,date,home_team,away_team,FTHG,FTAG,FTR,home_xg,away_xg,home_elo,away_elo,elo_diff,home_form_l5,home_form_l10,home_finishing_efficiency_l5,home_finishing_efficiency_l10,home_attacking_xg_l5,home_attacking_xg_l10,home_defensive_xg_l5,home_defensive_xg_l10,home_rest_days,away_form_l5,away_form_l10,away_finishing_efficiency_l5,away_finishing_efficiency_l10,away_attacking_xg_l5,away_attacking_xg_l10,away_defensive_xg_l5,away_defensive_xg_l10,away_rest_days,form_diff_l5,form_diff_l10,attack_vs_defense_l5,defense_vs_attack_l5
ENG-Premier League,2526,2026-01-03,Brighton,Nott'm Forest,,,,,,1828.42419434,1763.24987793,65.17431641000007,5.0,13.0,-0.5760432000000002,-0.2615691,1.5760431999999998,1.5615691,1.7594622000000002,1.7660823,0.0,3.0,12.0,-0.21313339999999997,-0.014778200000000019,1.2131333999999998,1.2147782,1.3351472000000002,1.3223217,0.0,2.0,1.0,0.24089599999999955,0.5463288000000004
ENG-Premier League,2526,2026-01-03,Fulham,Tottenham,,,,,,1798.38586426,1814.06420898,-15.67834472000004,10.0,19.0,0.0016638000000000375,0.33671100000000004,1.3983362,1.363289,1.5485792,1.3487878,2.0,7.0,9.0,-0.3264505999999999,0.07393958000000006,1.1264506,0.9260604200000001,1.1029536000000002,1.433612,2.0,3.0,10.0,0.2953825999999997,0.42212859999999996
ENG-Premier League,2526,2026-01-03,Man United,Crystal Palace,,,,,,1827.09802246,1804.88684082,22.21118163999995,8.0,14.0,0.07249179999999973,-0.04021369999999996,2.1275082000000003,1.8402137,1.3662193999999999,1.339359,4.0,4.0,14.0,-0.7651461999999997,-0.39725730000000004,1.5651462,1.3972573000000001,1.5305817999999998,1.3420733999999999,2.0,4.0,0.0,0.5969264000000005,-0.19892680000000018
ENG-Premier League,2526,2026-01-03,Arsenal,Chelsea,,,,,,2053.62329102,1887.01904297,166.60424805000002,12.0,23.0,-0.45627399999999996,-0.22651000000000007,2.4562739999999996,2.32651,1.4410234000000002,1.04999412,4.0,6.0,16.0,-0.32955239999999986,-0.44505539999999993,1.7295524,1.9450554,2.237708,1.5540879,4.0,6.0,7.0,0.2185659999999996,-0.2885289999999998
ESP-La Liga,2526,2026-01-03,Barcelona,Villarreal,,,,,,1944.59594727,1765.24865723,179.34729003999996,15.0,27.0,0.061292000000000256,0.21966600000000006,2.9387079999999997,2.6803339999999998,1.7155514,1.5792209000000001,13.0,12.0,22.0,0.023183800000000376,0.23700269999999996,1.9768161999999996,1.8629973,1.5666788000000003,1.5256197999999999,0.0,3.0,5.0,1.3720291999999994,-0.2612647999999995
ESP-La Liga,2526,2026-01-03,Betis,Sevilla,,,,,,1762.53942871,1635.00964355,127.52978516000007,8.0,16.0,0.05037279999999973,0.017054199999999874,1.9496271999999997,1.7829457999999998,1.7918332,1.5587550000000001,13.0,4.0,10.0,-0.6712185000000002,-0.1871774444444445,1.1712185,1.1871774444444445,1.896315,1.9578446666666665,14.0,4.0,6.0,0.0533121999999997,0.6206147
ESP-La Liga,2526,2026-01-03,Elche,Espanol,,,,,,1616.41003418,1683.09313965,-66.6831054700001,6.0,9.0,0.29063039999999984,0.05625299999999993,1.5093695999999999,1.2437470000000002,1.6973466000000001,1.8592457,0.0,12.0,21.0,-0.12788220000000022,-0.11422977777777778,1.1278821999999997,1.1142297777777774,1.1784763999999996,1.3842335555555556,0.0,-6.0,-12.0,0.3308932000000002,0.5694644000000004
ESP-La Liga,2526,2026-01-03,Mallorca,Sociedad,,,,,,1635.26623535,1638.15905762,-2.8928222700001243,6.0,13.0,0.43228449999999985,0.18184922222222222,1.3177155,1.2625952222222223,1.5549935000000001,1.6590264444444445,15.0,4.0,12.0,0.022068000000000067,-0.07515080000000007,1.3779320000000002,1.4751508000000002,1.437332,1.0775104,14.0,2.0,1.0,-0.11961650000000001,0.17706149999999998
ESP-La Liga,2526,2026-01-03,Levante,Alaves,,,,,,1569.92651367,1615.62219238,-45.69567870999981,1.0,6.0,-0.5865874,-0.6384651111111111,0.9865874000000003,1.1940206666666666,2.1749500000000004,2.003491888888889,14.0,3.0,10.0,-0.6634962,-0.7827111,1.2634961999999998,1.5827111,1.8463659999999997,1.4067633,14.0,-2.0,-4.0,-0.8597785999999994,0.9114538000000005
ESP-La Liga,2526,2026-01-03,Vallecano,Ath Bilbao,,,,,,1635.77929688,1710.44921875,-74.66992187000005,3.0,11.0,-0.8829758,-0.798722111111111,1.2829758000000002,1.4653887777777779,1.5200273999999998,1.5011521111111112,1.0,4.0,10.0,-0.809221,-0.5989487777777776,1.409221,1.3767265555555557,1.3774187999999998,1.473758222222222,0.0,-1.0,1.0,-0.09444299999999961,0.11080639999999975
ESP-La Liga,2526,2026-01-03,Oviedo,Ath Madrid,,,,,,1543.00891113,1875.27600098,-332.26708985000005,3.0,5.0,,,,,,,14.0,9.0,24.0,0.13629125000000036,-0.008290999999999974,1.3637087499999998,1.7860687777777775,1.7559750000000005,1.287794111111111,13.0,-6.0,-19.0,,
ESP-La Liga,2526,2026-01-03,Girona,Celta,,,,,,1594.56176758,1691.60314941,-97.04138183000008,5.0,12.0,-0.3212745999999999,-0.25239811111111105,1.1212746,1.252398111111111,1.534524,1.7477922222222222,13.0,10.0,20.0,0.2985795,0.4639897777777777,1.7014204999999998,1.4248991111111111,1.6186557500000003,1.7666347777777778,0.0,-5.0,-8.0,-0.49738115000000027,-0.16689649999999978
ESP-La Liga,2526,2026-01-03,Real Madrid,Getafe,,,,,,1910.13195801,1615.23791504,294.8940429700001,10.0,21.0,-0.981156,-0.9088643000000001,2.5811559999999996,2.6088643,1.2810570000000003,1.1553511,14.0,4.0,10.0,-0.3679594,-0.28943280000000005,0.7679594000000001,0.7894328,1.2286198000000002,1.2971533,1.0,6.0,11.0,1.3525361999999994,0.5130976000000003
ESP-La Liga,2526,2026-01-03,Valencia,Osasuna,,,,,,1646.72106934,1659.74353027,-13.02246093000008,6.0,8.0,-0.44157060000000004,-0.5639100999999999,1.4415706000000001,1.2639101,1.1425779999999999,1.5046119999999998,15.0,8.0,9.0,0.3302644,-0.09946244444444444,1.2697356,1.3216846666666668,1.2136276,1.4267775555555557,0.0,-2.0,-1.0,0.22794300000000023,-0.1271576000000001
FRA-Ligue 1,2526,2026-01-03,Paris FC,Nice,,,,,,1538.9864502,1601.08776855,-62.10131834999993,2.0,9.0,-0.8319057999999998,-0.12936299999999995,1.4319057999999998,1.229363,2.1269639999999996,1.6427335999999997,21.0,1.0,10.0,-0.8400084,-0.11673249999999999,1.4400084000000002,1.2167325000000002,2.2449719999999997,1.9545229,0.0,1.0,-1.0,-0.8130662,0.6869555999999994
FRA-Ligue 1,2526,2026-01-03,Lille,Nantes,,,,,,1759.86865234,1543.36096191,216.5076904299999,12.0,21.0,0.42763320000000016,0.11773130000000018,1.5723667999999997,1.7822687,1.4559642000000002,1.1857459000000001,0.0,2.0,6.0,0.1797334,0.05172949999999993,0.6202666000000001,0.8482704999999999,1.9670614,2.0456963999999997,22.0,10.0,15.0,-0.39469460000000023,0.8356976
FRA-Ligue 1,2526,2026-01-03,Lorient,Auxerre,,,,,,1603.57775879,1580.26391602,23.313842770000065,9.0,11.0,-0.4034009999999998,-0.46393330000000005,1.6034009999999999,1.4639332999999999,0.9566019999999998,1.399468,20.0,5.0,6.0,-0.19707839999999982,-0.32714039999999994,1.5970783999999998,1.3271403999999998,1.063287,1.4051579,20.0,4.0,5.0,0.5401139999999998,-0.6404764
