league,season,game,league_id,season_id,game_id,date,home_team_id,away_team_id,home_team,away_team,away_team_code,home_team_code,home_goals,away_goals,home_xg,away_xg,is_result,has_data,url
ESP-La Liga,1415,2014-08-23 Almeria-Espanyol,4,2014,5829,2014-08-23 22:00:00,208,141,Almeria,Espanyol,ESP,ALM,1,1,0.978788,0.399306,True,True,https://understat.com/match/5829
ESP-La Liga,1415,2014-08-23 Granada-Deportivo La Coruna,4,2014,5828,2014-08-23 20:00:00,155,139,Granada,Deportivo La Coruna,DEP,GRA,2,1,0.548351,0.379371,True,True,https://understat.com/match/5828
ESP-La Liga,1415,2014-08-23 Malaga-Athletic Club,4,2014,5826,2014-08-23 18:00:00,137,147,Malaga,Athletic Club,ATH,MAL,1,0,1.32107,1.14151,True,True,https://understat.com/match/5826
ESP-La Liga,1415,2014-08-23 Sevilla-Valencia,4,2014,5827,2014-08-23 20:00:00,138,146,Sevilla,Valencia,VAL,SEV,1,1,1.17197,1.74903,True,True,https://understat.com/match/5827
ESP-La Liga,1415,2014-08-24 Barcelona-Elche,4,2014,5831,2014-08-24 20:00:00,148,207,Barcelona,Elche,ELC,BAR,3,0,1.54124,0.10804,True,True,https://understat.com/match/5831
ESP-La Liga,1415,2014-08-24 Celta Vigo-Getafe,4,2014,5832,2014-08-24 20:00:00,152,142,Celta Vigo,Getafe,GET,CEL,3,1,1.91721,0.673965,True,True,https://understat.com/match/5832
ESP-La Liga,1415,2014-08-24 Eibar-Real Sociedad,4,2014,5830,2014-08-24 18:00:00,156,140,Eibar,Real Sociedad,SOC,EIB,1,0,0.465398,0.975523,True,True,https://understat.com/match/5830
ESP-La Liga,1415,2014-08-24 Levante-Villarreal,4,2014,5833,2014-08-24 22:00:00,151,154,Levante,Villarreal,VIL,LEV,0,2,0.345435,3.01412,True,True,https://understat.com/match/5833
ESP-La Liga,1415,2014-08-25 Rayo Vallecano-Atletico Madrid,4,2014,5835,2014-08-25 21:00:00,145,143,Rayo Vallecano,Atletico Madrid,ATL,RVL,0,0,0.357337,0.901586,True,True,https://understat.com/match/5835
ESP-La Liga,1415,2014-08-25 Real Madrid-Cordoba,4,2014,5834,2014-08-25 19:00:00,150,206,Real Madrid,Cordoba,COR,RMA,2,0,0.612645,0.37841,True,True,https://understat.com/match/5834
ESP-La Liga,1415,2014-08-29 Getafe-Almeria,4,2014,5836,2014-08-29 19:00:00,142,208,Getafe,Almeria,ALM,GET,1,0,1.31774,1.31079,True,True,https://understat.com/match/5836
ESP-La Liga,1415,2014-08-29 Valencia-Malaga,4,2014,5837,2014-08-29 21:00:00,146,137,Valencia,Malaga,MAL,VAL,3,0,1.96863,1.13196,True,True,https://understat.com/match/5837
ESP-La Liga,1415,2014-08-30 Athletic Club-Levante,4,2014,5839,2014-08-30 18:00:00,147,151,Athletic Club,Levante,LEV,ATH,3,0,2.25621,0.331502,True,True,https://understat.com/match/5839
ESP-La Liga,1415,2014-08-30 Atletico Madrid-Eibar,4,2014,5840,2014-08-30 20:00:00,143,156,Atletico Madrid,Eibar,EIB,ATL,2,1,1.37146,0.855113,True,True,https://understat.com/match/5840
ESP-La Liga,1415,2014-08-30 Cordoba-Celta Vigo,4,2014,5838,2014-08-30 18:00:00,206,152,Cordoba,Celta Vigo,CEL,COR,1,1,0.241504,0.786352,True,True,https://understat.com/match/5838
ESP-La Liga,1415,2014-08-30 Espanyol-Sevilla,4,2014,5841,2014-08-30 22:00:00,141,138,Espanyol,Sevilla,SEV,ESP,1,2,0.945745,1.36011,True,True,https://understat.com/match/5841
ESP-La Liga,1415,2014-08-31 Deportivo La Coruna-Rayo Vallecano,4,2014,5843,2014-08-31 20:00:00,139,145,Deportivo La Coruna,Rayo Vallecano,RVL,DEP,2,2,1.89944,2.23586,True,True,https://understat.com/match/5843
ESP-La Liga,1415,2014-08-31 Elche-Granada,4,2014,5785,2014-08-31 22:00:00,207,155,Elche,Granada,GRA,ELC,1,1,1.35652,0.762738,True,True,https://understat.com/match/5785
ESP-La Liga,1415,2014-08-31 Real Sociedad-Real Madrid,4,2014,5844,2014-08-31 20:00:00,140,150,Real Sociedad,Real Madrid,RMA,SOC,4,2,2.74099,2.31574,True,True,https://understat.com/match/5844
ESP-La Liga,1415,2014-08-31 Villarreal-Barcelona,4,2014,5842,2014-08-31 18:00:00,154,148,Villarreal,Barcelona,BAR,VIL,0,1,1.10836,3.12545,True,True,https://understat.com/match/5842
ESP-La Liga,1415,2014-09-12 Almeria-Cordoba,4,2014,5786,2014-09-12 20:00:00,208,206,Almeria,Cordoba,COR,ALM,1,1,1.03628,0.763656,True,True,https://understat.com/match/5786
ESP-La Liga,1415,2014-09-13 Barcelona-Athletic Club,4,2014,5787,2014-09-13 15:00:00,148,147,Barcelona,Athletic Club,ATH,BAR,2,0,2.1772,0.0979707,True,True,https://understat.com/match/5787
ESP-La Liga,1415,2014-09-13 Celta Vigo-Real Sociedad,4,2014,5790,2014-09-13 21:00:00,152,140,Celta Vigo,Real Sociedad,SOC,CEL,2,2,2.85395,1.30012,True,True,https://understat.com/match/5790
ESP-La Liga,1415,2014-09-13 Malaga-Levante,4,2014,5788,2014-09-13 17:00:00,137,151,Malaga,Levante,LEV,MAL,0,0,0.819725,0.358265,True,True,https://understat.com/match/5788
ESP-La Liga,1415,2014-09-13 Real Madrid-Atletico Madrid,4,2014,5789,2014-09-13 19:00:00,150,143,Real Madrid,Atletico Madrid,ATL,RMA,1,2,1.58778,1.11054,True,True,https://understat.com/match/5789
