league,season,game,league_id,season_id,game_id,date,home_team_id,away_team_id,home_team,away_team,away_team_code,home_team_code,home_goals,away_goals,home_xg,away_xg,is_result,has_data,url
GER-Bundesliga,1415,2014-08-22 Bayern Munich-Wolfsburg,3,2014,5447,2014-08-22 19:30:00,117,131,Bayern Munich,Wolfsburg,WOL,BAY,2,1,2.57012,1.19842,True,True,https://understat.com/match/5447
GER-Bundesliga,1415,2014-08-23 Borussia Dortmund-Bayer Leverkusen,3,2014,5453,2014-08-23 17:30:00,129,119,Borussia Dortmund,Bayer Leverkusen,LEV,DOR,0,2,0.482324,1.14915,True,True,https://understat.com/match/5453
GER-Bundesliga,1415,2014-08-23 Eintracht Frankfurt-Freiburg,3,2014,5451,2014-08-23 14:30:00,132,135,Eintracht Frankfurt,Freiburg,FRE,EIN,1,0,1.75331,1.38084,True,True,https://understat.com/match/5451
GER-Bundesliga,1415,2014-08-23 FC Cologne-Hamburger SV,3,2014,5452,2014-08-23 14:30:00,134,118,FC Cologne,Hamburger SV,HAM,COL,0,0,0.522276,0.913337,True,True,https://understat.com/match/5452
GER-Bundesliga,1415,2014-08-23 Hannover 96-Schalke 04,3,2014,5449,2014-08-23 14:30:00,128,124,Hannover 96,Schalke 04,SCH,HAN,2,1,1.17979,0.956665,True,True,https://understat.com/match/5449
GER-Bundesliga,1415,2014-08-23 Hertha Berlin-Werder Bremen,3,2014,5450,2014-08-23 14:30:00,122,123,Hertha Berlin,Werder Bremen,WER,HER,2,2,1.75585,1.19453,True,True,https://understat.com/match/5450
GER-Bundesliga,1415,2014-08-23 Hoffenheim-Augsburg,3,2014,5448,2014-08-23 14:30:00,120,121,Hoffenheim,Augsburg,AUG,HOF,2,0,1.52873,0.280777,True,True,https://understat.com/match/5448
GER-Bundesliga,1415,2014-08-24 Borussia M.Gladbach-VfB Stuttgart,3,2014,5455,2014-08-24 16:30:00,130,133,Borussia M.Gladbach,VfB Stuttgart,STU,BMG,1,1,2.40939,0.433199,True,True,https://understat.com/match/5455
GER-Bundesliga,1415,2014-08-24 Paderborn-Mainz 05,3,2014,5454,2014-08-24 14:30:00,205,125,Paderborn,Mainz 05,MAI,PAD,2,2,0.35254,1.84123,True,True,https://understat.com/match/5454
GER-Bundesliga,1415,2014-08-29 Augsburg-Borussia Dortmund,3,2014,5456,2014-08-29 19:30:00,121,129,Augsburg,Borussia Dortmund,DOR,AUG,2,3,1.00422,2.30342,True,True,https://understat.com/match/5456
