league,season,game,league_id,season_id,game_id,date,home_team_id,away_team_id,home_team,away_team,away_team_code,home_team_code,home_goals,away_goals,home_xg,away_xg,is_result,has_data,url
ITA-Serie A,1415,2014-08-30 Chievo-Juventus,2,2014,5149,2014-08-30 17:00:00,109,98,Chievo,Juventus,JUV,CHI,0,1,0.502227,2.37394,True,True,https://understat.com/match/5149
ITA-Serie A,1415,2014-08-30 Roma-Fiorentina,2,2014,5150,2014-08-30 19:45:00,95,110,Roma,Fiorentina,FIO,ROM,2,0,2.24014,0.377616,True,True,https://understat.com/match/5150
ITA-Serie A,1415,2014-08-31 AC Milan-Lazio,2,2014,5152,2014-08-31 17:00:00,111,96,AC Milan,Lazio,LAZ,MIL,3,1,2.01129,2.03815,True,True,https://understat.com/match/5152
ITA-Serie A,1415,2014-08-31 Atalanta-Verona,2,2014,5151,2014-08-31 17:00:00,107,94,Atalanta,Verona,VER,ATA,0,0,0.880993,0.727137,True,True,https://understat.com/match/5151
ITA-Serie A,1415,2014-08-31 Cesena-Parma,2,2014,5154,2014-08-31 19:45:00,203,204,Cesena,Parma,PAR,CES,1,0,1.09417,0.438551,True,True,https://understat.com/match/5154
ITA-Serie A,1415,2014-08-31 Genoa-Napoli,2,2014,5155,2014-08-31 19:45:00,101,105,Genoa,Napoli,NAP,GEN,1,2,0.520545,1.79022,True,True,https://understat.com/match/5155
ITA-Serie A,1415,2014-08-31 Palermo-Sampdoria,2,2014,5153,2014-08-31 19:45:00,100,102,Palermo,Sampdoria,SAM,PAL,1,1,0.922943,0.803464,True,True,https://understat.com/match/5153
ITA-Serie A,1415,2014-08-31 Sassuolo-Cagliari,2,2014,5156,2014-08-31 19:45:00,104,116,Sassuolo,Cagliari,CAG,SAS,1,1,1.08028,0.852461,True,True,https://understat.com/match/5156
ITA-Serie A,1415,2014-08-31 Torino-Inter,2,2014,5157,2014-08-31 19:45:00,113,106,Torino,Inter,INT,TOR,0,0,1.09973,1.31374,True,True,https://understat.com/match/5157
ITA-Serie A,1415,2014-08-31 Udinese-Empoli,2,2014,5158,2014-08-31 19:45:00,99,108,Udinese,Empoli,EMP,UDI,2,0,1.68654,0.68925,True,True,https://understat.com/match/5158
ITA-Serie A,1415,2014-09-13 Empoli-Roma,2,2014,5109,2014-09-13 17:00:00,108,95,Empoli,Roma,ROM,EMP,0,1,0.593046,1.37321,True,True,https://understat.com/match/5109
ITA-Serie A,1415,2014-09-13 Juventus-Udinese,2,2014,5110,2014-09-13 19:45:00,98,99,Juventus,Udinese,UDI,JUV,2,0,1.10828,0.201525,True,True,https://understat.com/match/5110
ITA-Serie A,1415,2014-09-14 Cagliari-Atalanta,2,2014,5115,2014-09-14 14:00:00,116,107,Cagliari,Atalanta,ATA,CAG,1,2,3.00775,0.616984,True,True,https://understat.com/match/5115
ITA-Serie A,1415,2014-09-14 Fiorentina-Genoa,2,2014,5114,2014-09-14 14:00:00,110,101,Fiorentina,Genoa,GEN,FIO,0,0,2.09923,0.230085,True,True,https://understat.com/match/5114
ITA-Serie A,1415,2014-09-14 Inter-Sassuolo,2,2014,5116,2014-09-14 14:00:00,106,104,Inter,Sassuolo,SAS,INT,7,0,3.96571,0.483421,True,True,https://understat.com/match/5116
ITA-Serie A,1415,2014-09-14 Lazio-Cesena,2,2014,5112,2014-09-14 14:00:00,96,203,Lazio,Cesena,CES,LAZ,3,0,1.55271,0.154651,True,True,https://understat.com/match/5112
ITA-Serie A,1415,2014-09-14 Napoli-Chievo,2,2014,5113,2014-09-14 14:00:00,105,109,Napoli,Chievo,CHI,NAP,0,1,2.2055,0.667533,True,True,https://understat.com/match/5113
ITA-Serie A,1415,2014-09-14 Parma-AC Milan,2,2014,5117,2014-09-14 19:45:00,204,111,Parma,AC Milan,MIL,PAR,4,5,1.43019,3.77794,True,True,https://understat.com/match/5117
ITA-Serie A,1415,2014-09-14 Sampdoria-Torino,2,2014,5111,2014-09-14 11:30:00,102,113,Sampdoria,Torino,TOR,SAM,2,0,0.421195,0.389513,True,True,https://understat.com/match/5111
ITA-Serie A,1415,2014-09-15 Verona-Palermo,2,2014,5118,2014-09-15 19:45:00,94,100,Verona,Palermo,PAL,VER,2,1,2.10454,1.38681,True,True,https://understat.com/match/5118
ITA-Serie A,1415,2014-09-20 AC Milan-Juventus,2,2014,5120,2014-09-20 19:45:00,111,98,AC Milan,Juventus,JUV,MIL,0,1,0.281427,1.44109,True,True,https://understat.com/match/5120
ITA-Serie A,1415,2014-09-20 Cesena-Empoli,2,2014,5119,2014-09-20 17:00:00,203,108,Cesena,Empoli,EMP,CES,2,2,2.03766,2.57707,True,True,https://understat.com/match/5119
ITA-Serie A,1415,2014-09-21 Atalanta-Fiorentina,2,2014,5126,2014-09-21 17:00:00,107,110,Atalanta,Fiorentina,FIO,ATA,0,1,1.1469,1.02956,True,True,https://understat.com/match/5126
ITA-Serie A,1415,2014-09-21 Chievo-Parma,2,2014,5121,2014-09-21 11:30:00,109,204,Chievo,Parma,PAR,CHI,2,3,1.34921,0.934229,True,True,https://understat.com/match/5121
ITA-Serie A,1415,2014-09-21 Genoa-Lazio,2,2014,5122,2014-09-21 14:00:00,101,96,Genoa,Lazio,LAZ,GEN,1,0,1.18602,1.97129,True,True,https://understat.com/match/5122
ITA-Serie A,1415,2014-09-21 Palermo-Inter,2,2014,5128,2014-09-21 19:45:00,100,106,Palermo,Inter,INT,PAL,1,1,0.584764,0.477134,True,True,https://understat.com/match/5128
ITA-Serie A,1415,2014-09-21 Roma-Cagliari,2,2014,5123,2014-09-21 14:00:00,95,116,Roma,Cagliari,CAG,ROM,2,0,1.52229,0.493968,True,True,https://understat.com/match/5123
ITA-Serie A,1415,2014-09-21 Sassuolo-Sampdoria,2,2014,5124,2014-09-21 14:00:00,104,102,Sassuolo,Sampdoria,SAM,SAS,0,0,0.656603,0.654804,True,True,https://understat.com/match/5124
ITA-Serie A,1415,2014-09-21 Torino-Verona,2,2014,5127,2014-09-21 19:45:00,113,94,Torino,Verona,VER,TOR,0,1,2.62344,1.22043,True,True,https://understat.com/match/5127
ITA-Serie A,1415,2014-09-21 Udinese-Napoli,2,2014,5125,2014-09-21 17:00:00,99,105,Udinese,Napoli,NAP,UDI,1,0,0.693168,0.436016,True,True,https://understat.com/match/5125
