team,league,pts,ens_projected,ens_p5,ens_p95,ens_rank,ml_projected,elo_projected,ml_vs_elo,ml_rank,ens_vs_rf,ens_vs_elo
Arsenal,ENG-Premier League,57,81.6264,74.0,88.0,1,78.9,81.6,-2.6999999999999886,1,2.726399999999998,0.026400000000009527
Man City,ENG-Premier League,53,74.0392,67.0,81.0,2,73.5,74.4,-0.9000000000000057,2,0.5391999999999939,-0.3608000000000118
Aston Villa,ENG-Premier League,50,69.9371,63.0,77.0,3,68.7,70.9,-2.200000000000003,3,1.237099999999998,-0.9629000000000048
Chelsea,ENG-Premier League,44,63.4598,57.0,70.0,4,63.0,62.7,0.2999999999999971,5,0.4598000000000013,0.7597999999999985
Liverpool,ENG-Premier League,42,63.4421,56.0,71.0,5,63.5,63.2,0.2999999999999971,4,-0.05789999999999651,0.24210000000000065
Man United,ENG-Premier League,45,62.2871,55.0,70.0,6,61.2,62.8,-1.5999999999999943,6,1.0870999999999995,-0.5128999999999948
Brentford,ENG-Premier League,40,57.4456,50.0,65.0,7,57.9,58.1,-0.2000000000000028,7,-0.4543999999999997,-0.6544000000000025
Bournemouth,ENG-Premier League,37,54.7466,48.0,62.0,8,53.9,54.2,-0.3000000000000042,9,0.8466000000000022,0.546599999999998
Newcastle,ENG-Premier League,36,53.9131,47.0,61.0,9,54.1,53.6,0.5,8,-0.1869000000000014,0.3130999999999986
Everton,ENG-Premier League,37,52.1642,45.0,59.0,10,52.2,52.4,-0.1999999999999957,10,-0.03580000000000183,-0.23579999999999757
Fulham,ENG-Premier League,34,50.4065,43.0,58.0,11,48.8,49.9,-1.1000000000000014,11,1.606500000000004,0.5065000000000026
Sunderland,ENG-Premier League,36,47.4716,41.0,55.0,12,46.4,48.0,-1.6000000000000014,14,1.0716000000000037,-0.5283999999999978
Brighton,ENG-Premier League,31,47.2082,40.0,54.0,13,47.1,47.3,-0.1999999999999957,12,0.10819999999999652,-0.09179999999999922
Crystal Palace,ENG-Premier League,32,45.7891,39.0,53.0,14,46.8,46.6,0.1999999999999957,13,-1.0108999999999995,-0.8109000000000037
Leeds,ENG-Premier League,30,44.8308,38.0,52.0,15,44.4,45.6,-1.2000000000000028,15,0.43080000000000496,-0.7691999999999979
Tottenham,ENG-Premier League,29,44.3857,38.0,51.0,16,43.5,44.8,-1.2999999999999972,16,0.8856999999999999,-0.4142999999999972
Nott'm Forest,ENG-Premier League,27,41.0158,34.0,48.0,17,42.0,41.0,1.0,17,-0.9842000000000013,0.015799999999998704
West Ham,ENG-Premier League,24,35.9411,29.0,43.0,18,36.5,36.5,0.0,18,-0.5589000000000013,-0.5589000000000013
Burnley,ENG-Premier League,18,29.4357,23.0,36.0,19,29.2,29.2,0.0,19,0.23570000000000135,0.23570000000000135
Wolves,ENG-Premier League,9,20.1691,14.0,27.0,20,20.4,20.1,0.2999999999999971,20,-0.23089999999999833,0.06909999999999883
Barcelona,ESP-La Liga,58,90.6006,83.0,98.0,1,88.4,88.6,-0.1999999999999886,1,2.2005999999999943,2.0006000000000057
Real Madrid,ESP-La Liga,57,85.3385,78.0,92.0,2,85.0,86.9,-1.9000000000000057,2,0.33849999999999625,-1.5615000000000094
Ath Madrid,ESP-La Liga,45,70.4999,63.0,78.0,3,69.3,72.0,-2.700000000000003,4,1.1998999999999995,-1.5001000000000033
Villarreal,ESP-La Liga,45,68.7668,61.0,77.0,4,70.2,70.7,-0.5,3,-1.4331999999999994,-1.9331999999999994
Betis,ESP-La Liga,38,60.7996,53.0,68.0,5,61.4,62.2,-0.8000000000000043,5,-0.6004000000000005,-1.4004000000000048
Celta,ESP-La Liga,33,52.7425,45.0,60.0,6,54.1,53.7,0.3999999999999986,6,-1.3575000000000017,-0.9575000000000031
Espanol,ESP-La Liga,34,49.8127,43.0,57.0,7,51.2,52.1,-0.8999999999999986,8,-1.3873000000000033,-2.287300000000002
Sociedad,ESP-La Liga,31,49.7464,42.0,57.0,8,52.6,51.9,0.7000000000000028,7,-2.8536,-2.1535999999999973
