team,league,pts,mp,ensemble_projected,p5,p95,std,rank_super,projected_pts,elo_p5,elo_p95,rf_projected,diff_vs_elo,diff_vs_rf,rank_elo
Arsenal,ENG-Premier League,57,26,81.2522,74.0,88.0,4.180095113750404,1,81.6,75.0,88.0,78.9,-0.34779999999999234,2.3521999999999963,1
Man City,ENG-Premier League,53,26,73.5732,66.0,81.0,4.460520346327321,2,74.4,67.0,82.0,73.5,-0.8268000000000058,0.07319999999999993,2
Aston Villa,ENG-Premier League,50,26,69.8229,63.0,77.0,4.455349098555578,3,70.9,64.0,78.0,68.7,-1.0771000000000015,1.1229000000000013,3
Chelsea,ENG-Premier League,44,26,63.3979,56.0,71.0,4.374834350006866,4,62.7,56.0,70.0,63.0,0.6978999999999971,0.3978999999999999,6
Liverpool,ENG-Premier League,42,26,63.3151,56.0,71.0,4.405793003535233,5,63.2,56.0,70.0,63.5,0.1150999999999982,-0.18489999999999895,4
Man United,ENG-Premier League,45,26,62.2684,55.0,70.0,4.421646914894947,6,62.8,55.0,70.0,61.2,-0.5315999999999974,1.068399999999997,5
Brentford,ENG-Premier League,40,26,58.0986,51.0,65.0,4.452670888354539,7,58.1,51.0,65.0,57.9,-0.0014000000000038426,0.198599999999999,7
Bournemouth,ENG-Premier League,37,26,54.7815,48.0,62.0,4.359284086865641,8,54.2,47.0,61.0,53.9,0.5814999999999984,0.8815000000000026,8
Newcastle,ENG-Premier League,36,26,54.3087,47.0,62.0,4.430530928681121,9,53.6,47.0,61.0,54.1,0.7087000000000003,0.20870000000000033,9
Everton,ENG-Premier League,37,26,52.6114,46.0,60.0,4.370147599338036,10,52.4,45.0,60.0,52.2,0.2114000000000047,0.41140000000000043,10
Fulham,ENG-Premier League,34,26,50.4428,43.0,58.0,4.389046383897076,11,49.9,43.0,57.0,48.8,0.5427999999999997,1.6428000000000011,11
Sunderland,ENG-Premier League,36,26,47.7418,41.0,55.0,4.208982390079578,12,48.0,41.0,55.0,46.4,-0.2582000000000022,1.3417999999999992,12
Brighton,ENG-Premier League,31,26,46.5401,40.0,54.0,4.305878770936311,13,47.3,40.0,55.0,47.1,-0.7598999999999947,-0.559899999999999,13
Crystal Palace,ENG-Premier League,32,26,46.0046,39.0,53.0,4.310287558852656,14,46.6,40.0,54.0,46.8,-0.5953999999999979,-0.7953999999999937,14
Leeds,ENG-Premier League,30,26,45.2661,38.0,53.0,4.282626622763185,15,45.6,39.0,53.0,44.4,-0.33389999999999986,0.866100000000003,15
Tottenham,ENG-Premier League,29,26,44.2723,37.0,52.0,4.347637601042663,16,44.8,38.0,52.0,43.5,-0.5276999999999958,0.7723000000000013,16
Nott'm Forest,ENG-Premier League,27,26,41.0729,34.0,49.0,4.419658990238953,17,41.0,34.0,48.0,42.0,0.07289999999999708,-0.9271000000000029,17
West Ham,ENG-Premier League,24,26,36.2865,30.0,43.0,4.1637024089144505,18,36.5,30.0,44.0,36.5,-0.21350000000000335,-0.21350000000000335,18
Burnley,ENG-Premier League,18,26,29.3595,23.0,36.0,4.07068295866922,19,29.2,23.0,36.0,29.2,0.1595000000000013,0.1595000000000013,19
Wolves,ENG-Premier League,9,26,20.6463,14.0,28.0,4.115433915154027,20,20.1,14.0,27.0,20.4,0.5462999999999987,0.24630000000000152,20
Barcelona,ESP-La Liga,58,23,90.2831,83.0,97.0,4.544596174579211,1,88.6,81.0,96.0,88.4,1.6831000000000103,1.8830999999999989,1
Real Madrid,ESP-La Liga,57,23,87.7847,80.0,95.0,4.522051073351561,2,86.9,79.0,94.0,85.0,0.8846999999999952,2.784700000000001,2
